run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:max,title,"queue length, max",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:timeavg,,,NaN,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:timeavg,interpolationmode,sample-hold,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:timeavg,source,count(packetPushed) - count(packetPopped) - count(packetRemoved) - count(packetDropped),,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:timeavg,title,"queue length, timeavg",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetPushed:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetPushed:count,interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetPushed:count,title,"packet pushed, count",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetPushed:sum(packetBytes),,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetPushed:sum(packetBytes),interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetPushed:sum(packetBytes),title,"packet pushed, sum(packetBytes)",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:count,interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:count,source,packetDropReasonIsQueueOverflow(packetDropped),,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:count,title,"packet drops: queue overflow, count",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:sum(packetBytes),,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:sum(packetBytes),interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf.channelAccess.pendingQueue,packetDropQueueOverflow:sum(packetBytes),source,packetDropReasonIsQueueOverflow(packetDropped),,,,,,,,,
